עמודה1,עמודה2,עמודה3,עמודה4,עמודה5,עמודה6,עמודה7,עמודה8
נתונים חודשיים,,,,,,,
12/18,99.9,100.1,99.7,99.4,100.0,98.8,100.1
01/19,99.9,99.9,99.6,99.4,100.1,99.0,100.4
02/19,100.0,99.9,99.6,99.6,100.4,99.2,100.5
03/19,100.4,100.5,100.0,100.0,100.8,99.6,100.7
04/19,100.8,100.8,100.5,100.4,101.1,100.1,100.9
05/19,101.7,101.3,101.2,100.9,101.5,100.6,101.2
06/19,100.9,101.1,100.8,100.8,101.1,100.3,101.2
07/19,100.4,100.9,100.5,100.7,101.0,100.0,101.3
08/19,100.5,101.0,100.5,100.8,101.3,99.8,101.7
09/19,100.2,100.7,100.0,100.0,101.1,99.1,101.4
10/19,100.7,101.0,100.5,100.2,101.2,99.4,101.4
11/19,100.2,100.7,100.1,99.8,100.9,98.7,101.5
12/19,100.0,100.8,100.0,99.6,100.8,98.5,101.3
01/20,99.6,100.3,99.4,99.3,100.6,98.3,101.0
02/20,99.4,100.1,99.2,99.3,100.6,98.1,101.0
03/20,99.7,100.6,99.6,99.5,101.0,98.4,101.2
השינוי באחוזים לעומת החודש הקודם,,,,,,,
03/20,0.3,0.5,0.4,0.3,0.4,0.3,0.2
השינוי באחוזים לעומת התקופה המקבילה אשתקד,,,,,,,
2016,-1.5,-0.7,-1.9,-1.9,-0.5,-3.2,-0.9
2017,0.0,0.4,-0.1,-0.3,0.6,-0.8,0.9
2018,-0.4,0.4,-0.2,0.3,0.3,-0.3,0.3
2019,0.9,0.8,0.3,0.2,1.4,-0.4,1.0
2020,-0.5,0.2,-0.3,-0.3,0.3,-1.0,0.5
השינוי באחוזים לעומת הרביע הקודם,,,,,,,
12/18,-0.4,-0.2,-0.4,-1.1,-0.6,-1.6,-0.2
03/19,0.5,0.4,0.3,0.6,0.8,0.8,0.6
06/19,0.5,0.6,0.8,0.8,0.3,0.7,0.6
09/19,-0.7,-0.4,-0.8,-0.8,-0.1,-1.2,0.1
12/19,-0.2,0.1,0.0,-0.4,-0.3,-0.5,-0.1
03/20,-0.3,-0.2,-0.4,-0.1,0.2,-0.1,-0.1
השינוי באחוזים במשך השנה (חודש נוכחי לעומת דצמבר אשתקד),,,,,,,
2016,-1.4,-0.9,-1.3,-0.8,-0.8,-1.3,-0.5
2017,-0.2,-0.1,-0.3,0.0,0.4,-0.2,0.4
2018,0.0,0.0,-0.1,0.6,0.3,0.6,0.2
2019,0.5,0.4,0.3,0.6,0.8,0.8,0.6
2020,-0.3,-0.2,-0.4,-0.1,0.2,-0.1,-0.1
המקור: הלשכה המרכזית לסטטיסטיקה ועיבודי בנק ישראל.,,,,,,,
